,characteristic_id,characteristic_description,units,dataset_label,dataset_url,theme_label,theme_url,characteristic_type
70,CAT_BEDPERM_3,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is semiconsolidated sand,percent,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is Carbonate rock,https://www.sciencebase.gov/catalog/item/57867c33e4b0e02680c14fff,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
71,CAT_BEDPERM_4,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is basalt and other volcanic rocks,percent,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is Carbonate rock,https://www.sciencebase.gov/catalog/item/57867c33e4b0e02680c14fff,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
72,CAT_BEDPERM_5,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is sandstone and carbonate rocks,percent,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is Carbonate rock,https://www.sciencebase.gov/catalog/item/57867c33e4b0e02680c14fff,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
73,CAT_BEDPERM_6,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is Unconsolidated sand and gravel,percent,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is Carbonate rock,https://www.sciencebase.gov/catalog/item/57867c33e4b0e02680c14fff,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
74,CAT_BEDPERM_7,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is Carbonate rock,percent,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is Carbonate rock,https://www.sciencebase.gov/catalog/item/57867c33e4b0e02680c14fff,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
75,CAT_CANALDITCH,flowlines coded as canals or ditches,percent,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
76,CAT_CONNECTOR,flowlines coded as connectors,percent,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
77,CAT_ELEV_MAX,NHDPlusV2 flowline catchment's maximum elevation in meters. -9999 denotes a flowline which has no catchment.,meters,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
78,CAT_RDX,number of road and stream intersections,number of road and stream crossings,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
79,CAT_PIPELINE,"Percentage of all flowline reach lengths per NHDPlusV2 catchment that is a pipe line. Pipelines are specifically man-made structures of steel, concrete, or polymers that direct surface water flows from one area to another.",percentage,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
80,CAT_STREAM_SLOPE,NHDPlus version 2 flowline's average slope in percent. -9999 denotes a flow line with no change in elevation or unable to determine or flowline has no catchment.,percent rise,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
81,CAT_STREAM_LENGTH,"NHDPlus version 2 flowline's length in kilometers taken directly from NHDPlusv2's NHDflowline shapefile's item, LENGTHKM. -9999 denotes a catchment has no flowline.",kilometers,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
82,CAT_STRM_DENS,stream density of catchment reach,km -1,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
83,CAT_STREAMRIVER,flowlines coded as Streams or Rivers,percent,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
84,CAT_ICEMASS,Percent ice mass.,percent,Percent of NHDPlusV2 catchment that contains estuaries. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/57ab4009e4b05e859be1ad26,Land Cover,unknown,localCatch_name
85,CAT_LAKEPOND,Percent lakes or ponds.,percent,Percent of NHDPlusV2 catchment that contains estuaries. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/57ab4009e4b05e859be1ad26,Land Cover,unknown,localCatch_name
86,CAT_PEST219,"Estimate of agricultural pesticide application (219 types), kg/sq km, from Census of Ag 1997, based on county-wide sales and percent agricultural land cover in watershed",kg/sqkm,"Estimate of agricultural pesticide application (219 types), kg/sq km, from Census of Ag 1997, based on county-wide sales and percent agricultural land cover in watershed",https://www.sciencebase.gov/catalog/item/57bf5e62e4b0f2f0ceb75b79,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
87,CAT_PLAYA,Percent playas.,percent,Percent of NHDPlusV2 catchment that contains estuaries. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/57ab4009e4b05e859be1ad26,Land Cover,unknown,localCatch_name
88,CAT_NPDES_MAJ,Number of major NPDES sites,count,Density of major NPDES sites per NHDPlus version 2 catchment.,https://www.sciencebase.gov/catalog/item/57c9d89ce4b0f2f0cec192da,Hydrologic Modifications,unknown,localCatch_name
89,CAT_NPDES_MAJ_DENS,Density of major NPDES sites,sites per 100 square kilometers,Density of major NPDES sites per NHDPlus version 2 catchment.,https://www.sciencebase.gov/catalog/item/57c9d89ce4b0f2f0cec192da,Hydrologic Modifications,unknown,localCatch_name
90,CAT_RESERVOIR,Percent reservoirs.,percent,Percent of NHDPlusV2 catchment that contains estuaries. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/57ab4009e4b05e859be1ad26,Land Cover,unknown,localCatch_name
91,CAT_SWAMPMARSH,Percent swamps or marshes.,percent,Percent of NHDPlusV2 catchment that contains estuaries. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/57ab4009e4b05e859be1ad26,Land Cover,unknown,localCatch_name
92,CAT_TOTAL_ROAD_DENS,Density of all road types per NHDPlusV2 catchment. Density is defined as the length of road divided by the catchment area.,kilometer of roads per square kilometer,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
93,CAT_ROCKTYPE_100,"Estimated percent of catchment that is underlain by the Principal Aquifer rock type, Unconsolidated sand and gravel aquifers.",percent,"Estimated percent of catchment that is underlain by the Principal Aquifer, Piedmont and Blue Ridge crystalline-rock aquifers.",https://www.sciencebase.gov/catalog/item/582b3855e4b0c253be05fc81,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
94,CAT_ROCKTYPE_200,"Estimated percent of catchment that is underlain by the Principal Aquifer rock type, Semiconsolidated sand aquifers.",percent,"Estimated percent of catchment that is underlain by the Principal Aquifer, Piedmont and Blue Ridge crystalline-rock aquifers.",https://www.sciencebase.gov/catalog/item/582b3855e4b0c253be05fc81,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
95,CAT_ROCKTYPE_300,"Estimated percent of catchment that is underlain by the Principal Aquifer rock type, Sandstone aquifers.",percent,"Estimated percent of catchment that is underlain by the Principal Aquifer, Piedmont and Blue Ridge crystalline-rock aquifers.",https://www.sciencebase.gov/catalog/item/582b3855e4b0c253be05fc81,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
96,CAT_ROCKTYPE_400,"Estimated percent of catchment that is underlain by the Principal Aquifer rock type, Carbonate-rock aquifers.",percent,"Estimated percent of catchment that is underlain by the Principal Aquifer, Piedmont and Blue Ridge crystalline-rock aquifers.",https://www.sciencebase.gov/catalog/item/582b3855e4b0c253be05fc81,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
97,CAT_ROCKTYPE_500,"Estimated percent of catchment that is underlain by the Principal Aquifer rock type, Sandstone and carbonate-rock aquifers.",percent,"Estimated percent of catchment that is underlain by the Principal Aquifer, Piedmont and Blue Ridge crystalline-rock aquifers.",https://www.sciencebase.gov/catalog/item/582b3855e4b0c253be05fc81,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
98,CAT_ROCKTYPE_600,"Estimated percent of catchment that is underlain by the Principal Aquifer rock type, Igneous and metamorphic-rock aquifers.",percent,"Estimated percent of catchment that is underlain by the Principal Aquifer, Piedmont and Blue Ridge crystalline-rock aquifers.",https://www.sciencebase.gov/catalog/item/582b3855e4b0c253be05fc81,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
99,CAT_KGBI,"Toxicity Weighted Use for benthic invertebrates in kilograms per square kilomter on agricultural land, 2013",kg/sqkm,"Estimated rate of toxicity weighted pesticide use for cladocerans on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/58b5ff1ce4b01ccd54fde48d,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
100,CAT_KGCLADO,"Toxicity Weighted Use for cladocerans in kilograms per square kilomter on agricultural land, 2013",kg/sqkm,"Estimated rate of toxicity weighted pesticide use for cladocerans on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/58b5ff1ce4b01ccd54fde48d,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
101,CAT_KGFISH,"Toxicity Weighted Use for fish in kilograms per square kilomter on agricultural land, 2013",kg/sqkm,"Estimated rate of toxicity weighted pesticide use for cladocerans on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/58b5ff1ce4b01ccd54fde48d,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
102,CAT_NORM_STORAGE2013,"The normal dam storage (in acre-feet) defined as the total storage space in all reservoirs in a flowline catchment that is below the normal retention level, including dead and inactive storage and excluding any flood control or surcharge storage. Value is based on dams built on or before YYYY",acre-feet,"Number of major dams built on or before YYYY in each NHDPlusV2 catchment. Major dams defined as being >= 50 feet in height (15m) or having storage >= 5,000 acre feet, where YYYY is the last year for the decade of record (for example 1960 spans 1951 - 1960). The exceptions are 1930 and 2013 (1930 and before and 2010 to 2010 respectively).",https://www.sciencebase.gov/catalog/item/58c301f2e4b0f37a93ed915a,Hydrologic Modifications,unknown,localCatch_name
103,CAT_HDENS10,historic housing densities for 2010.,percent,"Estimated number of houses per square kilometer per NHDPlusV2 catchment, where XX is the last 2 digits of the year represented. The range of years is 1940 through 2010.",https://www.sciencebase.gov/catalog/item/5910de31e4b0e541a03ac983,Population,unknown,localCatch_name
104,CAT_HGC,"Percentage of Hydrologic Group C soil. -9999 denotes NODATA, usually water. Hydrologic group C soils have slow soil infiltration rates. The soil profiles include layers impeding downward movement of water and, typically, have moderately fine or fine texture.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
105,CAT_NLCD01_43,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
106,CAT_ROCKTYPE_999,"Estimated percent of catchment that is underlain by the Principal Aquifer rock type, Other rocks.",percent,"Estimated percent of catchment that is underlain by the Principal Aquifer, Piedmont and Blue Ridge crystalline-rock aquifers.",https://www.sciencebase.gov/catalog/item/582b3855e4b0c253be05fc81,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
107,CAT_ARTIFICIAL,flowlines coded as Artificial paths,percent,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
108,CAT_BASIN_AREA,NHDPlusV2 flowline catchment area in square kilometers. -9999 denotes a flowline which has no catchment.,square kilometers,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
109,CAT_BASIN_SLOPE,NHDPlusV2 flowline catchment's average slope in percent. -9999 denotes a flowline which has no catchment.,percent rise,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
110,CAT_BFI,"Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.",percent,"Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.",https://www.sciencebase.gov/catalog/item/5669a8e3e4b08895842a1d4f,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,localCatch_name
111,CAT_DITCHES92,Percent of watershed subjected to ditches for the year 1992,percent,Estimated percent area of field ditches on agricultural land for the year 1992 per NHDPlus version 2 catchment. -9999 denotes the source data does not underly the NHDPlusV2 catchments and therefore is NODATA.,https://www.sciencebase.gov/catalog/item/57067257e4b03f95a075ab0c,Hydrologic Modifications,unknown,localCatch_name
112,CAT_ET,"Mean-annual actual evapotranspiration (ET), estimated using regression equation of Sanford and Selnick (2013)",mm/year,"Mean-annual evapotranspiration, estimated by Senay and others (2013) per NHDPlus version 2 catchment.",https://www.sciencebase.gov/catalog/item/5705491be4b0d4e2b756cf8a,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
113,CAT_ELEV_MEAN,NHDPlusV2 flowline catchment's mean elevation in meters. -9999 denotes a flowline which has no catchment.,meters,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
114,CAT_ELEV_MIN,NHDPlusV2 flowline catchment's minimum elevation in meters. -9999 denotes a flowline which has no catchment.,meters,Flowline catchment stream density calculated as stream length (meters) divided by catchment(s) area (square kilometers).,https://www.sciencebase.gov/catalog/item/57976a0ce4b021cadec97890,Topographic,unknown,localCatch_name
115,CAT_ESTUARY,Percent estuaries.,percent,Percent of NHDPlusV2 catchment that contains estuaries. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/57ab4009e4b05e859be1ad26,Land Cover,unknown,localCatch_name
116,CAT_FRESHWATER_WD,freshwater withdrawals from 1995-2000 county-level estimates,megaliters per square kilometer,Million gallons per year per square kilometer per NHDPlus version 2.1 catchment for January 2016. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/57c9dc05e4b0f2f0cec192f2,Water Use,unknown,localCatch_name
117,CAT_HERBICIDE,"Herbicide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",kilogram per square kilometer,"Herbicide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/57052ba4e4b0d4e2b756ab85,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
118,CAT_MAJOR2013,"Number of major dams built on or before YYYY in each NHDPlusV2 catchment. Major dams defined as being >= 50 feet in height (15m) or having storage >= 5,000 acre feet",count,"Number of major dams built on or before YYYY in each NHDPlusV2 catchment. Major dams defined as being >= 50 feet in height (15m) or having storage >= 5,000 acre feet, where YYYY is the last year for the decade of record (for example 1960 spans 1951 - 1960). The exceptions are 1930 and 2013 (1930 and before and 2010 to 2010 respectively).",https://www.sciencebase.gov/catalog/item/58c301f2e4b0f37a93ed915a,Hydrologic Modifications,unknown,localCatch_name
119,CAT_MIRAD_2007,"Percent of watershed in irrigated agriculture, from USGS 2007 250-m MODIS data",percent,Percent of all land that?s irrigated agriculture in 2007 per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/573b7850e4b0dae0d5e3aeb0,Hydrologic Modifications,unknown,localCatch_name
120,CAT_NDAMS2013,"Number of dams built on or before YYYY ,",count,"Number of major dams built on or before YYYY in each NHDPlusV2 catchment. Major dams defined as being >= 50 feet in height (15m) or having storage >= 5,000 acre feet, where YYYY is the last year for the decade of record (for example 1960 spans 1951 - 1960). The exceptions are 1930 and 2013 (1930 and before and 2010 to 2010 respectively).",https://www.sciencebase.gov/catalog/item/58c301f2e4b0f37a93ed915a,Hydrologic Modifications,unknown,localCatch_name
121,CAT_NID_STORAGE2013,"The maximum dam storage (in acre-feet) defined as the total storage space in all reservoirs in a flowline catchment below the maximum attainable water surface elevation, including any surcharge storage, of dams built on or before YYYY. Value is based on dams built on or before YYYY",acre-feet,"Number of major dams built on or before YYYY in each NHDPlusV2 catchment. Major dams defined as being >= 50 feet in height (15m) or having storage >= 5,000 acre feet, where YYYY is the last year for the decade of record (for example 1960 spans 1951 - 1960). The exceptions are 1930 and 2013 (1930 and before and 2010 to 2010 respectively).",https://www.sciencebase.gov/catalog/item/58c301f2e4b0f37a93ed915a,Hydrologic Modifications,unknown,localCatch_name
122,CAT_OLSON_PERM,Rock hydraulic conductivity (10^-6 m/s).,10^-6 m/s,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.",https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
123,CAT_POPDENS00,"Population density, persons per square kilometer from 2000 Census block level data per NHDPlus version 2 catchment",persons per square kilometer,"Population density, persons per square kilometer from 2000 Census block level data per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/5728f532e4b0b13d3918aa0a,Population,unknown,localCatch_name
124,CAT_PPT7100_ANN,"Mean annual precip (mm) for the watershed, from 800m PRISM data.  30 years period of record 1971-2000. ",mm/year,30 year (1971 - 2000) mean annual precipitation from 800m PRISM data per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/573b70a7e4b0dae0d5e3ae85,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
125,CAT_RUN7100,Estimated 30-year (1971-2000) average annual runoff in millimeters per year,millimeters per year,Estimated 30-year (1971-2000) average annual runoff in mm/year per NHDPlus version 2 catchment. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/578f8ad8e4b0ad6235cf6e43,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,localCatch_name
126,ACC_BFI,"Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.",percent,"Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.",https://www.sciencebase.gov/catalog/item/5669a8e3e4b08895842a1d4f,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,divRoute_name
127,ACC_PET,"Mean-annual potential evapotranspiration (PET), estimated using the Hamon (1961) equation. ",mm/year,"PRISM 30-year average Potential Evapotranspiration, 1971-2000 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/56f96ed1e4b0a6037df06a2d,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,divRoute_name
128,ACC_CONTACT,Subsurface flow contact time index. The subsurface contact time index estimates the number of days that infiltrated water resides in the saturated subsurface zone of the basin before discharging into the stream.,days,"Contact time, the length of time it takes for water to drain along subsurface flow paths to the stream, per NHDPlus version 2 catchment.",https://www.sciencebase.gov/catalog/item/56f96fc5e4b0a6037df06b12,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,divRoute_name
129,ACC_EWT,Average depth to water table relatice to the land surface(meters),meters,Average depth to water table relative to land surface per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/56f97456e4b0a6037df06b50,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,divRoute_name
130,ACC_IEOF,Percentage of Horton overland flow as a percent,percent,Mean infiltration-excess overland flow as a percent of streamflow per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/56f974e2e4b0a6037df06b55,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,divRoute_name
131,ACC_RECHG,Mean annual natural ground-water recharge in millimeters per year,mm/yr,Estimated 30 year (1951-1980) mean annual natural groundwater recharge per NHDPlus version 2 catchment. -9999 denotes source data does not cover catchment.,https://www.sciencebase.gov/catalog/item/56f97577e4b0a6037df06b5a,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,divRoute_name
132,ACC_SATOF,Percentage of Dunne overland flow as a percent,percent,Mean saturation overland flow as a percent of streamflow per NHDPlus version 2 catchment. -9999 denotes NODATA or flowline has no catchment. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/56f97acbe4b0a6037df06b6a,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,divRoute_name
133,ACC_TWI,"Topographic wetness index, ln(a/S); where ln is the natural log, a is the upslope area per unit contour length and S is the slope at that point.  See http://ks.water.usgs.gov/Kansas/pubs/reports/wrir.99-4242.html and Wolock and McCabe, 1995 for more detail",ln(m),average topgraphic wetness index per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/56f97be4e4b0a6037df06b70,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,divRoute_name
134,ACC_WB5100_ANN,Average annual runoff (mm) from McCabe and Wolock's Runoff Model 1951-2000 per NHDPlus version 2 catchment,millimeters per year,Average annual runoff (mm) from McCabe and Wolock's Runoff Model 1951-2000 per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/56fd5bd0e4b0c07cbfa40473,Hydrologic,https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c,divRoute_name
135,ACC_FUNGICIDE,"Fungicide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",kilogram per square kilometer,"Fungicide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/56fd610fe4b022712b81bf9f,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,divRoute_name
136,ACC_TILES92,Percent of watershed subjected to tile drains for the year 1992,percent,Estimated percent area of subsurface drainage for the year 1992 per NHDPlus version 2 catchment. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/57067469e4b03f95a075ad3e,Hydrologic Modifications,unknown,divRoute_name
137,ACC_OLSON_PERM,Rock hydraulic conductivity (10^-6 m/s).,10^-6 m/s,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.",https://www.sciencebase.gov/catalog/item/5703e35be4b0328dcb825562,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,divRoute_name
138,ACC_LAKEPOND,Percent lakes or ponds.,percent,Percent of NHDPlusV2 catchment that contains estuaries. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/57ab4009e4b05e859be1ad26,Land Cover,unknown,divRoute_name
139,ACC_FSTFZ6190,"Watershed average of mean day of the year of first freeze, derived from 30 years of record (1961-1990), 2km PRISM. For example, value of 300 is the 300th day of the year (Oct 27th).  ",day of year,"Mean Julian year day of the year of first freeze, from 30 years of Record (1961-1990) per NHDPlus version 2 catchment. The values represent the Julian year day of the first freeze. For example, value of 300 is the 300th day of the year (Oct 27th). Values > 365 mean that the first freeze occurs after Dec 31.  It is done this way so that (first_freeze - first_freeze) should always give a positive number; high numbers for an area with a long frost-free period (e.g. Florida), low numbers for an area with a short frost-free period. Values of 0 here indicate there is no freeze.",https://www.sciencebase.gov/catalog/item/5704052ae4b0328dcb827bc7,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,divRoute_name
140,ACC_LSTFZ6190,"Watershed average of mean day of the year of last freeze, derived from 30 years of record (1961-1990), 2km PRISM.  For example, value of 100 is the 100th day of the year (April 10th).  ",day of year,"Mean Julian year day of the year of last freeze, from 30 years of Record (1961-1990) per NHDPlus version 2 catchment. The values represent the Julian year day of the last freeze. For example, value of 300 is the 300th day of the year (Oct 27th). Values > 365 mean that the last freeze occurs after Dec 31.  It is done this way so that (first_freeze - last_freeze) should always give a positive number; high numbers for an area with a long frost-free period (e.g. Florida), low numbers for an area with a short frost-free period.",https://www.sciencebase.gov/catalog/item/57040a6ce4b0328dcb828378,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,divRoute_name
141,ACC_MAXP6190,Watershed maximum average annual precipitation in mm,mm/year,30 year average (1961-1990) of maximum monthly precipitation in mm per NHDPlus version 2 catchment. -9999 denotes catchment is outside of the source data extent.,https://www.sciencebase.gov/catalog/item/57040af4e4b0328dcb82842b,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,divRoute_name
142,ACC_RESERVOIR,Percent reservoirs.,percent,Percent of NHDPlusV2 catchment that contains estuaries. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/57ab4009e4b05e859be1ad26,Land Cover,unknown,divRoute_name
143,ACC_MAXWD6190,"Watershed average of maximum monthly number of days of measurable precipitation, derived from 30 years of record (1961-1990), 2.3km PRISM.  This is simply the maximum value of the values WD_JAN_BASIN thru WD_DEC_BASIN.",days,30 year average (1961-1990) of maximum monthly number of days of measurable precipitation per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/57040b6ce4b0328dcb8284b8,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,divRoute_name
144,ACC_MINWD6190,"Watershed average of minimum monthly number of days of measurable precipitation, derived from 30 years of record (1961-1990), 2.3km PRISM. This is simply the minimum value of the values WD_JAN_BASIN thru WD_DEC_BASIN.",days,30 year average (1961-1990) of minimummonthly number of days of measurable precipitation per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/57040be3e4b0328dcb82850a,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,divRoute_name
